Title	IMDB	Budget	 Dom  Box  Office 	 Intl  Box  Office 	Score	Year	Writers	Directors	Producers	 Female  Character  Percentage 	 Female  Talk  Percentage 	 Female  Writer  Percentage 	 Female  Director  Percentage 	 Female  Producer  Percentage 	 Overall  Female  Production  Percentage 
"  Lock,    Stock    and    Two    Smoking    Barrels  "	120735	-6	-4	6674486	1	1998	"  [['Guy    Ritchie',    'm']]  "	"  [['Guy    Ritchie',    'm']]  "	"  [['Stephen    Marks',    'm'],    ['Georgia    Masters',    'NULL'],    ['Peter    Morton',    'm'],    ['Angad    Paul',    'NULL'],    ['Trudie    Styler',    'f'],    ['Steve    Tisch',    'm'],    ['Matthew    Vaughn',    'm'],    ['Jon    Slan',    'm']]  "	0	0	0	0	0.125	0.1
"Lock,  Stock  and  Two  Smoking  Barrels"	120735	-6	-4	41049041.18	1	1998				-6	-7	-8	-5	-5	-5
   The    Lord    of    the    Rings:    The    Fellowship    of    the    Ring   	120737	-6	-4	1283764167	1	2001	"  [['J.R.R.    Tolkien',    'm'],    ['Fran    Walsh',    'f'],    ['Philippa    Boyens',    'f'],    ['Peter    Jackson',    'm']]  "	"  [['Peter    Jackson',    'm']]  "	"  [['Peter    Jackson',    'm'],    ['Michael    Lynne',    'm'],    ['Mark    Ordesky',    'm'],    ['Barrie    M.    Osborne',    'm'],    ['Rick    Porras',    'm'],    ['Tim    Sanders',    'm'],    ['Jamie    Selkirk',    'm'],    ['Robert    Shaye',    'm'],    ['Fran    Walsh',    'f'],    ['Bob    Weinstein',    'm'],    ['Harvey    Weinstein',    'm']]  "	0.142857143	0.139390454	0.5	0	0.090909091	0.1875
 The  Lord  of  the  Rings:  The  Fellowship  of  the  Ring 	120737	-6	-4	1182545797	1	2001				-6	-7	-8	-5	-5	-5
   Lost    in    Space   	120738	-6	-4	242091454	3	1998	"  [['Irwin    Allen',    'm'],    ['Akiva    Goldsman',    'm']]  "	"  [['Stephen    Hopkins',    'm']]  "	"  [['Michael    De    Luca',    'm'],    ['Carla    Fry',    'f'],    ['Akiva    Goldsman',    'm'],    ['Tim    Hampton',    'm'],    ['Stephen    Hopkins',    'm'],    ['Michael    Ilitch    Jr.',    'm'],    ['Mark    W.    Koch',    'm'],    ['Mace    Neufeld',    'm'],    ['Robert    Rehme',    'm'],    ['Richard    Saperstein',    'm'],    ['Kris    Wiseman    McIntyre',    'NULL']]  "	0.272727273	0.224660397	0	0	0.090909091	0.071428571
 Lost  in  Space 	120738	-6	-4	196945085.2	3	1998				-6	-7	-8	-5	-5	-5
   The    Man    in    the    Iron    Mask   	120744	-6	-4	325318708	1	1998	"  [['Alexandre    Dumas',    'm'],    ['Randall    Wallace',    'm']]  "	"  [['Randall    Wallace',    'm']]  "	"  [['Renee    Dupont',    'NULL'],    ['Paul    Hitchcock',    'm'],    ['Alan    Ladd    Jr.',    'm'],    ['Russell    Smith',    'm'],    ['Randall    Wallace',    'm']]  "	0.181818182	0.056081849	0	0	0	0
 The  Man  in  the  Iron  Mask 	120744	-6	-4	82468372.88	1	1998				-6	-7	-8	-5	-5	-5
   The    Mask    of    Zorro   	120746	-6	-4	445012994	1	1998	"  [['Ted    Elliott',    'm'],    ['Terry    Rossio',    'm'],    ['Randall    Jahnson',    'm'],    ['John    Eskow',    'm']]  "	"  [['Martin    Campbell',    'm']]  "	"  [['Doug    Claybourne',    'm'],    ['David    Foster',    'm'],    ['John    Gertz',    'm'],    ['Laurie    MacDonald',    'f'],    ['Walter    F.    Parkes',    'm'],    ['Steven    Spielberg',    'm']]  "	-1.5	-1.5	0	0	0.166666667	0.090909091
 The  Mask  of  Zorro 	120746	-6	-4	338309253.7	1	1998				-6	-7	-8	-5	-5	-5
   Mercury    Rising   	120749	-6	-4	165544760	1	1998	"  [['Ryne    Douglas    Pearson',    'm'],    ['Lawrence    Konner',    'm'],    ['Mark    Rosenthal',    'm']]  "	"  [['Harold    Becker',    'm']]  "	"  [['Brian    Grazer',    'm'],    ['Karen    Kehela    Sherwood',    'f'],    ['Ric    Kidney',    'NULL'],    ['Paul    Neesan',    'm'],    ['Maureen    Peyrot',    'f'],    ['Joseph    Singer',    'm']]  "	-1.5	-1.5	0	0	0.333333333	0.2
 Mercury  Rising 	120749	-6	-4	47747396.49	1	1998				-6	-7	-8	-5	-5	-5
   Mission:    Impossible    II   	120755	-6	-4	874673800	0	2000	"  [['Bruce    Geller',    'm'],    ['Ronald    D.    Moore',    'm'],    ['Brannon    Braga',    'm'],    ['Robert    Towne',    'm']]  "	"  [['John    Woo',    'm']]  "	"  [['Terence    Chang',    'm'],    ['Tom    Cruise',    'm'],    ['Paul    Hitchcock',    'm'],    ['Paula    Wagner',    'f']]  "	0.1	0.161144288	0	0	0.25	0.111111111
Mulan	120762	-6	-4	541081412	3	1998	"  [['Robert    D.    San    Souci',    'm'],    ['Rita    Hsiao',    'f'],    ['Chris    Sanders',    'm'],    ['Philip    LaZebnik',    'm'],    ['Raymond    Singer',    'm'],    ['Eugenia    Bostwick-Singer',    'f'],    ['Dean    DeBlois',    'm'],    ['John    Sanford',    'm'],    ['Tim    Hodge',    'm'],    ['Burny    Mattinson',    'm'],    ['Barry    Johnson',    'm'],    ['Ed    Gombert',    'm'],    ['Chris    Williams',    'm'],    ['Julius    Aguimatang',    'm'],    ['Lorna    Cook',    'f'],    ['Thom    Enriquez',    'm'],    ['Joe    Grant',    'm'],    ['Floyd    Norman',    'm']]  "	"  [['Tony    Bancroft',    'm'],    ['Barry    Cook',    'm']]  "	"  [['Pam    Coats',    'f']]  "	0.214285714	0.246947836	0.166666667	0	1	0.19047619
Mulan	120762	-6	-4	439353267.8	3	1998				-6	-7	-8	-5	-5	-5
   The    Negotiator   	120768	-6	-4	79205777	1	1998	"  [['James    DeMonaco',    'm'],    ['Kevin    Fox',    'm']]  "	"  [['F.    Gary    Gray',    'm']]  "	"  [['Albert    Beveridge',    'm'],    ['David    Hoberman',    'm'],    ['Arnon    Milchan',    'm'],    ['David    Nicksay',    'm'],    ['Robert    Stone',    'm'],    ['Webster    Stone',    'NULL']]  "	-1.5	-1.5	0	0	0	0
 The  Negotiator 	120768	-6	-4	71086585.75	1	1998				-6	-7	-8	-5	-5	-5
   The    Opposite    of    Sex   	120777	-6	-4	10872945	3	1998	"  [['Don    Roos',    'm']]  "	"  [['Don    Roos',    'm']]  "	"  [['Michael    Besman',    'm'],    ['Steve    Danton',    'm'],    ['David    Paul    Kirkpatrick',    'm'],    ['Jim    Lotfi',    'm'],    ['Reba    Merrill',    'NULL']]  "	-1.5	-1.5	0	0	0	0
   Out    of    Sight   	120780	-6	-4	138231620	2	1998	"  [['Elmore    Leonard',    'm'],    ['Scott    Frank',    'm']]  "	"  [['Steven    Soderbergh',    'm']]  "	"  [['Danny    DeVito',    'm'],    ['John    Hardy',    'm'],    ['Michael    Shamberg',    'm'],    ['Stacey    Sher',    'f'],    ['Barry    Sonnenfeld',    'm']]  "	0.176470588	0.246520123	0	0	0.2	0.125
 Out  of  Sight 	120780	-6	-4	112281277.2	2	1998				-6	-7	-8	-5	-5	-5
   The    Parent    Trap   	120783	-6	-4	163768945	3	1998	"  [['Erich    Kostner',    'm'],    ['David    Swift',    'm'],    ['Nancy    Meyers',    'f'],    ['Charles    Shyer',    'm']]  "	"  [['Nancy    Meyers',    'f']]  "	"  [['Bruce    A.    Block',    'm'],    ['Charles    Shyer',    'm']]  "	-1.5	-1.5	0.25	1	0	0.285714286
Payback	120784	-6	-4	265390091	1	1999	"  [['Donald    E.    Westlake',    'm'],    ['Brian    Helgeland',    'm'],    ['Terry    Hayes',    'NULL']]  "	"  [['Brian    Helgeland',    'm']]  "	"  [['Bruce    Davey',    'm'],    ['Stephen    McEveety',    'm']]  "	0.166666667	0.161362906	0	0	0	0
Payback	120784	-6	-4	228952270.8	1	1999				-6	-7	-8	-5	-5	-5
Pleasantville	120789	-6	-4	88554111	3	1998	"  [['Gary    Ross',    'm']]  "	"  [['Gary    Ross',    'm']]  "	"  [['Allen    Alsobrook',    'm'],    ['Andy    Borowitz',    'm'],    ['Susan    Borowitz',    'f'],    ['Michael    De    Luca',    'm'],    ['Bob    Degus',    'm'],    ['Jon    Kilik',    'm'],    ['Edward    Lynn',    'm'],    ['Mary    Parent',    'f'],    ['Gary    Ross',    'm'],    ['Steven    Soderbergh',    'm'],    ['Allison    Thomas',    'f']]  "	0.421052632	0.27724342	0	0	0.272727273	0.230769231
   Practical    Magic   	120791	-6	-4	83091062	3	1998	"  [['Alice    Hoffman',    'NULL'],    ['Robin    Swicord',    'f'],    ['Akiva    Goldsman',    'm'],    ['Adam    Brooks',    'm']]  "	"  [['Griffin    Dunne',    'm']]  "	"  [['Bruce    Berman',    'm'],    ['Denise    Di    Novi',    'f'],    ['Mary    McLaglen',    'f'],    ['Robin    Swicord',    'f']]  "	0.714285714	0.856693364	0.25	0	0.75	0.444444444
 Practical  Magic 	120791	-6	-4	98926138.61	3	1998				-6	-7	-8	-5	-5	-5
   The    Prince    of    Egypt   	120794	-6	-4	388694248	3	1998	"  [['Philip    LaZebnik',    'm']]  "	"  [['Brenda    Chapman',    'f'],    ['Steve    Hickner',    'm'],    ['Simon    Wells',    'm']]  "	"  [['Penney    Finkelman    Cox',    'f'],    ['P.J.    Hanke',    'NULL'],    ['Jeffrey    Katzenberg',    'm'],    ['Sandra    Rabins',    'f'],    ['R.    Don    Smith',    'm']]  "	-1.5	-1.5	0	0.333333333	0.4	0.333333333
 The  Prince  of  Egypt 	120794	-6	-4	316450162.9	1	1998				-6	-7	-8	-5	-5	-5
   Quest    for    Camelot   	120800	-6	-4	40392174	3	1998	"  [['Vera    Chapman',    'NULL'],    ['Kirk    De    Micco',    'm'],    ['William    Schifrin',    'm'],    ['Jacqueline    Feather',    'f'],    ['David    Seidler',    'm']]  "	"  [['Frederik    Du    Chau',    'm']]  "	"  [['Dalisa    Cohen',    'NULL']]  "	-1.5	-1.5	0.2	0	0	0.142857143
 Quest  for  Camelot 	120800	-6	-4	55259349.41	3	1998				-6	-7	-8	-5	-5	-5
   Resident    Evil   	120804	-6	-4	147002947	3	2002	"  [['Paul    W.S.    Anderson',    'm']]  "	"  [['Paul    W.S.    Anderson',    'm']]  "	"  [['Paul    W.S.    Anderson',    'm'],    ['Jeremy    Bolt',    'm'],    ['Bernd    Eichinger',    'm'],    ['Samuel    Hadida',    'm'],    ['Victor    Hadida',    'm'],    ['Daniel    S.    Kletzky',    'm'],    ['Robert    Kulzer',    'm'],    ['Yoshiki    Okamoto',    'NULL'],    ['Chris    Symes',    'm']]  "	0.375	0.389740059	0	0	0	0
 Resident  Evil 	120804	-6	-4	136162410.4	3	2002				-6	-7	-8	-5	-5	-5
   Rush    Hour   	120812	-6	-4	434519844	3	1998	"  [['Ross    LaManna',    'm'],    ['Jim    Kouf',    'm']]  "	"  [['Brett    Ratner',    'm']]  "	"  [['Roger    Birnbaum',    'm'],    ['Leon    Dudevoir',    'm'],    ['Jonathan    Glickman',    'm'],    ['Arthur    M.    Sarkissian',    'm'],    ['Art    Schaefer',    'NULL'],    ['Jay    Stern',    'NULL']]  "	0.111111111	0.057804184	0	0	0	0
 Rush  Hour 	120812	-6	-4	355101668.7	3	1998				-6	-7	-8	-5	-5	-5
   Safe    Men   	120813	-6	-4	81297	0	1998	"  [['John    Hamburg',    'm']]  "	"  [['John    Hamburg',    'm']]  "	"  [['Ellen    Bronfman',    'f'],    ['Jeffrey    Clifford',    'm'],    ['Jonathan    Cohen',    'm'],    ['Andrew    Hauptman',    'm']]  "	-1.5	-1.5	0	0	0.25	0.166666667
 Safe  Men 	120813	-6	-4	30704.16696	0	1998				-6	-7	-8	-5	-5	-5
   Saving    Private    Ryan   	120815	-6	-4	856713136	0	1998	"  [['Robert    Rodat',    'm']]  "	"  [['Steven    Spielberg',    'm']]  "	"  [['Ian    Bryce',    'm'],    ['Bonnie    Curtis',    'f'],    ['Mark    Gordon',    'm'],    ['Gary    Levinsohn',    'm'],    ['Allison    Lyon    Segan',    'f'],    ['Steven    Spielberg',    'm']]  "	0	0	0	0	0.333333333	0.25
 Saving  Private  Ryan 	120815	-6	-4	702147445.1	0	1998				-6	-7	-8	-5	-5	-5
   Six    Days    Seven    Nights   	120828	-6	-4	293084265	1	1998	"  [['Michael    Browning',    'm']]  "	"  [['Ivan    Reitman',    'm']]  "	"  [['Julie    Bergman    Sender',    'f'],    ['Roger    Birnbaum',    'm'],    ['Daniel    Goldberg',    'm'],    ['Sheldon    Kahn',    'NULL'],    ['Joe    Medjuck',    'm'],    ['Wallis    Nicita',    'f'],    ['Ivan    Reitman',    'm'],    ['Gordon    A.    Webb',    'm']]  "	-1.5	-1.5	0	0	0.25	0.2
 Six  Days  Seven  Nights 	120828	-6	-4	238568100.4	1	1998				-6	-7	-8	-5	-5	-5
   Slums    of    Beverly    Hills   	120831	-6	-4	9744005	3	1998	"  [['Tamara    Jenkins',    'f']]  "	"  [['Tamara    Jenkins',    'f']]  "	"  [['Michael    Nozik',    'm'],    ['Joe    Pichirallo',    'm'],    ['Robert    Redford',    'm'],    ['Stan    Wlodkowski',    'm']]  "	-1.5	-1.5	1	1	0	0.333333333
 Slums  of  Beverly  Hills 	120831	-6	-4	7965935.387	3	1998				-6	-7	-8	-5	-5	-5
   Snake    Eyes   	120832	-6	-4	-20	1	1998				0.142857143	0.135480777	-5	-5	-5	-5
   Species    II   	120841	-6	-4	34176608	3	1998	"  [['Chris    Brancato',    'm']]  "	"  [['Peter    Medak',    'm']]  "	"  [['Dennis    Feldman',    'm'],    ['Frank    Mancuso    Jr.',    'm']]  "	-1.5	-1.5	0	0	0	0
   Star    Trek:    Insurrection   	120844	-6	-4	211582000	3	1998	"  [['Gene    Roddenberry',    'm'],    ['Rick    Berman',    'm'],    ['Michael    Piller',    'm']]  "	"  [['Jonathan    Frakes',    'm']]  "	"  [['Rick    Berman',    'm'],    ['Marty    Hornstein',    'm'],    ['Peter    Lauritson',    'm'],    ['Michael    Piller',    'm']]  "	0.166666667	0.103601045	0	0	0	0
 Star  Trek:  Insurrection 	120844	-6	-4	170529867.5	3	1998				-6	-7	-8	-5	-5	-5
Tarzan	120855	-6	-4	735930967	2	1999	"  [['Tab    Murphy',    'm'],    ['Bob    Tzudiker',    'm'],    ['Noni    White',    'f'],    ['Stephen    J.    Anderson',    'm'],    ['Mark    Kennedy',    'm'],    ['Carole    Holliday',    'f'],    ['Gaetan    Brizzi',    'm'],    ['Paul    Brizzi',    'm'],    ['Don    Dougherty',    'm'],    ['Ed    Gombert',    'm'],    ['Randy    Haycock',    'm'],    ['Don    Hall',    'm'],    ['Kevin    Harkey',    'm'],    ['Glen    Keane',    'm'],    ['Burny    Mattinson',    'm'],    ['Frank    Nissen',    'm'],    ['John    Norton',    'm'],    ['Jeff    Snow',    'm'],    ['Michael    Surrey',    'm'],    ['Chris    Ure',    'm'],    ['Mark    Walton',    'm'],    ['Stevie    Wermers',    'm'],    ['Kelly    Wightman',    'NULL'],    ['John    Ramirez',    'm'],    ['Edgar    Rice    Burroughs',    'm']]  "	"  [['Chris    Buck',    'm'],    ['Kevin    Lima',    'm']]  "	"  [['Bonnie    Arnold',    'f'],    ['Christopher    Ward',    'm']]  "	0.375	0.526153167	0.08	0	0.5	0.103448276
Tarzan	120855	-6	-4	634888309.2	2	1999				-6	-7	-8	-5	-5	-5
   The    Thin    Red    Line   	120863	-6	-4	174469033	1	1998	"  [['James    Jones',    'm'],    ['Terrence    Malick',    'm']]  "	"  [['Terrence    Malick',    'm']]  "	"  [['Robert    Michael    Geisler',    'm'],    ['Grant    Hill',    'm'],    ['John    Roberdeau',    'm'],    ['George    Stevens    Jr.',    'm']]  "	0	0	0	0	0	0
 The  Thin  Red  Line 	120863	-6	-4	52694150.58	1	1998				-6	-7	-8	-5	-5	-5
Titus	120866	-6	-4	3295970	3	1999	"  [['William    Shakespeare',    'm'],    ['Julie    Taymor',    'f']]  "	"  [['Julie    Taymor',    'f']]  "	"  [['Conchita    Airoldi',    'f'],    ['Jody    Allen',    'm'],    ['Paul    G.    Allen',    'm'],    ['Stephen    K.    Bannon',    'm'],    ['Adam    Leipzig',    'm'],    ['Ellen    Dinerman    Little',    'f'],    ['Robert    Little',    'm'],    ['Linda    Reisman',    'f'],    ['Julie    Taymor',    'f'],    ['Michiyo    Yoshizaki',    'NULL']]  "	-1.5	-1.5	0.5	1	0.4	0.461538462
   Vampires    (John    Carpenter's)   	120877	-6	-4	36108997	0	1998	"  [['John    Steakley',    'm'],    ['Don    Jakoby',    'NULL']]  "	"  [['John    Carpenter',    'm']]  "	"  [['Don    Jakoby',    'NULL'],    ['Sandy    King',    'f'],    ['Barr    B.    Potter',    'm'],    ['David    Rodgers',    'm']]  "	-1.5	-1.5	0	0	0.25	0.142857143
 Vampires  (John  Carpenter&#39;s) 	120877	-6	-4	29341596.62	0	1998				-6	-7	-8	-5	-5	-5
   Velvet    Goldmine   	120879	-6	-4	1873635	2	1998	"  [['James    Lyons',    'm'],    ['Todd    Haynes',    'm']]  "	"  [['Todd    Haynes',    'm']]  "	"  [['Christopher    Ball',    'm'],    ['Scott    Meek',    'm'],    ['Sandy    Stern',    'NULL'],    ['Olivia    Stewart',    'f'],    ['Michael    Stipe',    'm'],    ['William    Tyrer',    'm'],    ['Christine    Vachon',    'f'],    ['Bob    Weinstein',    'm'],    ['Harvey    Weinstein',    'm']]  "	-1.5	-1.5	0	0	0.222222222	0.166666667
 Velvet  Goldmine 	120879	-6	-4	7038297.189	2	1998				-6	-7	-8	-5	-5	-5
   The    Wedding    Singer   	120888	-6	-4	219239823	2	1998	"  [['Tim    Herlihy',    'm']]  "	"  [['Frank    Coraci',    'm']]  "	"  [['Richard    Brener',    'm'],    ['Jack    Giarraputo',    'm'],    ['Brad    Grey',    'm'],    ['Ira    Shuman',    'm'],    ['Robert    Simonds',    'm'],    ['Sandy    Wernick',    'm'],    ['Brian    Witten',    'm']]  "	0.461538462	0.434348586	0	0	0	0
   Wild    Things   	120890	-6	-4	53602680	3	1998	"  [['Stephen    Peters',    'm']]  "	"  [['John    McNaughton',    'm']]  "	"  [['Kevin    Bacon',    'm'],    ['Steven    A.    Jones',    'm'],    ['Rodney    Liber',    'm']]  "	0.4375	0.441572429	0	0	0	0
 Wild  Things 	120890	-6	-4	80454050.07	2	1998				-6	-7	-8	-5	-5	-5
   Wild    Wild    West   	120891	-6	-4	364697528	2	1999	"  [['Jim    Thomas',    'm'],    ['John    Thomas',    'm'],    ['S.S.    Wilson',    'm'],    ['Brent    Maddock',    'm'],    ['Jeffrey    Price',    'm'],    ['Peter    S.    Seaman',    'm']]  "	"  [['Barry    Sonnenfeld',    'm']]  "	"  [['Tracy    Barone',    'NULL'],    ['Tracy    Glaser',    'NULL'],    ['Barry    Josephson',    'm'],    ['Kim    LeMasters',    'm'],    ['Doug    Lodato',    'm'],    ['Jon    Peters',    'm'],    ['Graham    Place',    'm'],    ['Joel    Simon',    'm'],    ['Barry    Sonnenfeld',    'm'],    ['Bill    Todman    Jr.',    'm']]  "	0.333333333	0.08863859	0	0	0	0
 Wild  Wild  West 	120891	-6	-4	313383494.1	2	1999				-6	-7	-8	-5	-5	-5
   The    X    Files   	120902	-6	-4	336394601	3	1998	"  [['Chris    Carter',    'm'],    ['Frank    Spotnitz',    'm']]  "	"  [['Rob    Bowman',    'm']]  "	"  [['Chris    Carter',    'm'],    ['Lata    Ryan',    'f'],    ['Daniel    Sackheim',    'm']]  "	0.222222222	0.31027668	0	0	0.333333333	0.166666667
X-Men	120903	-6	-4	458437248	1	2000	"  [['Tom    DeSanto',    'm'],    ['Bryan    Singer',    'm'],    ['David    Hayter',    'm']]  "	"  [['Bryan    Singer',    'm']]  "	"  [['Avi    Arad',    'm'],    ['Tom    DeSanto',    'm'],    ['Richard    Donner',    'm'],    ['Stan    Lee',    'm'],    ['Lauren    Shuler    Donner',    'f'],    ['Joel    Simon',    'm'],    ['Bill    Todman    Jr.',    'm'],    ['Ralph    Winter',    'm']]  "	0.375	0.169154229	0	0	0.125	0.083333333
X-Men	120903	-6	-4	406107468	1	2000				-6	-7	-8	-5	-5	-5
eXistenZ	120907	-6	-4	-20	1	1999				0.222222222	0.397163121	-5	-5	-5	-5
   Men    in    Black    II   	120912	-6	-4	634009982	1	2002	"  [['Lowell    Cunningham',    'm'],    ['Robert    Gordon',    'm'],    ['Barry    Fanaro',    'm']]  "	"  [['Barry    Sonnenfeld',    'm']]  "	"  [['Laurie    MacDonald',    'f'],    ['Walter    F.    Parkes',    'm'],    ['Graham    Place',    'm'],    ['Steven    Spielberg',    'm']]  "	-1.5	-1.5	0	0	0.25	0.125
 Men  in  Black  II 	120912	-6	-4	579571009.7	1	2002				-6	-7	-8	-5	-5	-5
   Titan    A.E.   	120913	-6	-4	56859985	3	2000	"  [['Hans    Bauer',    'm'],    ['Randall    McCormick',    'm'],    ['Ben    Edlund',    'm'],    ['John    August',    'm'],    ['Joss    Whedon',    'm']]  "	"  [['Don    Bluth',    'm'],    ['Gary    Goldman',    'm'],    ['Art    Vitello',    'NULL']]  "	"  [['Don    Bluth',    'm'],    ['Paul    Gertz',    'm'],    ['Gary    Goldman',    'm'],    ['David    Kirschner',    'm']]  "	-1.5	-1.5	0	0	0	0
 Titan  A.E. 	120913	-6	-4	50365348.1	3	2000				-6	-7	-8	-5	-5	-5
   Star    Wars:    Episode    I    -    The    Phantom    Menace   	120915	-6	-4	1686407360	3	1999	"  [['George    Lucas',    'm']]  "	"  [['George    Lucas',    'm']]  "	"  [['George    Lucas',    'm'],    ['Rick    McCallum',    'm']]  "	0.157894737	0.166511455	0	0	0	0
 Star  Wars:  Episode  I  -  The  Phantom  Menace 	120915	-6	-4	1426534054	3	1999				-6	-7	-8	-5	-5	-5
   The    Emperor's    New    Groove   	120917	-6	-4	261949932	3	2000	"  [['Chris    Williams',    'm'],    ['Mark    Dindal',    'm'],    ['David    Reynolds',    'm'],    ['Stephen    J.    Anderson',    'm'],    ['Roger    Allers',    'm'],    ['Matthew    Jacobs',    'm'],    ['Doug    Frankel',    'm'],    ['Mark    Kennedy',    'm'],    ['Mark    Walton',    'm']]  "	"  [['Mark    Dindal',    'm']]  "	"  [['Randy    Fullmer',    'm'],    ['Don    Hahn',    'm']]  "	-1.5	-1.5	0	0	0	0
 The  Emperor&#39;s  New  Groove 	120917	-6	-4	232006034.8	3	2000				-6	-7	-8	-5	-5	-5
   Corpse    Bride   	121164	-6	-4	69420203	3	2005	"  [['John    August',    'm'],    ['Caroline    Thompson',    'f'],    ['Pamela    Pettler',    'f']]  "	"  [['Tim    Burton',    'm'],    ['Mike    Johnson',    'm']]  "	"  [['Allison    Abbate',    'f'],    ['Jeffrey    Auerbach',    'm'],    ['Tim    Burton',    'm'],    ['Joe    Ranft',    'm']]  "	-1.5	-1.5	0.666666667	0	0.25	0.333333333
 Corpse  Bride 	121164	-6	-4	138696686.3	3	2005				-6	-7	-8	-5	-5	-5
   Star    Wars:    Episode    II    -    Attack    of    the    Clones   	121765	-6	-4	931886601	3	2002	"  [['George    Lucas',    'm'],    ['Jonathan    Hales',    'm']]  "	"  [['George    Lucas',    'm']]  "	"  [['George    Lucas',    'm'],    ['Rick    McCallum',    'm'],    ['Lorne    Orleans',    'm']]  "	0.266666667	0.169394544	0	0	0	0
 Star  Wars:  Episode  II  -  Attack  of  the  Clones 	121765	-6	-4	861542507.1	3	2002				-6	-7	-8	-5	-5	-5
   Star    Wars:    Episode    III    -    Revenge    of    the    Sith   	121766	-6	-4	1104229953	1	2005	"  [['George    Lucas',    'm']]  "	"  [['George    Lucas',    'm']]  "	"  [['George    Lucas',    'm'],    ['Rick    McCallum',    'm']]  "	0.153846154	0.121465064	0	0	0	0
 Star  Wars:  Episode  III  -  Revenge  of  the  Sith 	121766	-6	-4	1025988153	1	2005				-6	-7	-8	-5	-5	-5
   Return    to    Me   	122459	-6	-4	56635662	3	2000	"  [['Bonnie    Hunt',    'f'],    ['Don    Lake',    'm'],    ['Andrew    Stern',    'm'],    ['Samantha    Goodman',    'f']]  "	"  [['Bonnie    Hunt',    'f']]  "	"  [['C.O.    Erickson',    'm'],    ['Melanie    Greene',    'f'],    ['Jennie    Lew    Tugend',    'f']]  "	0.25	0.307421738	0.5	1	0.666666667	0.625
 Return  to  Me 	122459	-6	-4	44760802.41	3	2000				-6	-7	-8	-5	-5	-5
Ronin	122690	-6	-4	73993714	1	1998	"  [['J.D.    Zeik',    'm'],    ['David    Mamet',    'm']]  "	"  [['John    Frankenheimer',    'm']]  "	"  [['Paul    Kelmenson',    'm'],    ['Frank    Mancuso    Jr.',    'm']]  "	0.142857143	0.175254772	0	0	0	0
   Small    Soldiers   	122718	-6	-4	97225569	1	1998	"  [['Gavin    Scott',    'm'],    ['Adam    Rifkin',    'm'],    ['Ted    Elliott',    'm'],    ['Terry    Rossio',    'm']]  "	"  [['Joe    Dante',    'm']]  "	"  [['Paul    Deason',    'm'],    ['Michael    Finnell',    'm'],    ['Walter    F.    Parkes',    'm'],    ['Colin    Wilson',    'm']]  "	-1.5	-1.5	0	0	0	0
 Small  Soldiers 	122718	-6	-4	103857934.7	1	1998				-6	-7	-8	-5	-5	-5
   Analyze    This   	122933	-6	-4	290446250	1	1999	"  [['Kenneth    Lonergan',    'm'],    ['Peter    Tolan',    'm'],    ['Harold    Ramis',    'm']]  "	"  [['Harold    Ramis',    'm']]  "	"  [['Len    Amato',    'NULL'],    ['Bruce    Berman',    'm'],    ['Chris    Brigham',    'm'],    ['Billy    Crystal',    'm'],    ['Jane    Rosenthal',    'f'],    ['Paula    Weinstein',    'f']]  "	0.227272727	0.079472954	0	0	0.333333333	0.2
 Analyze  This 	122933	-6	-4	250568242.4	1	1999				-6	-7	-8	-5	-5	-5
   The    Other    Sister   	123209	-6	-4	45660124	3	1999	"  [['Alexandra    Rose',    'f'],    ['Blair    Richwood',    'f'],    ['Garry    Marshall',    'm'],    ['Bob    Brunner',    'm']]  "	"  [['Garry    Marshall',    'm']]  "	"  [['David    Hoberman',    'm'],    ['Mario    Iscovich',    'm'],    ['Reba    Merrill',    'NULL'],    ['Alexandra    Rose',    'f'],    ['Ellen    H.    Schwartz',    'f']]  "	-1.5	-1.5	0.5	0	0.4	0.4
Cube	123755	-6	-4	-20	3	1997				0.333333333	0.425146886	-5	-5	-5	-5
   Blast    from    the    Past   	124298	-6	-4	66111879	3	1999	"  [['Bill    Kelly',    'm'],    ['Hugh    Wilson',    'm']]  "	"  [['Hugh    Wilson',    'm']]  "	"  [['Renny    Harlin',    'm'],    ['Mary    Kane',    'f'],    ['Sunil    Perkash',    'NULL'],    ['Claire    Rudnick    Polstein',    'f'],    ['Amanda    Stern',    'f'],    ['Hugh    Wilson',    'm']]  "	0.230769231	0.366075949	0	0	0.5	0.333333333
   The    Cider    House    Rules   	124315	-6	-4	145391041	2	1999	"  [['John    Irving',    'm']]  "	"  [['Lasse    Hallstrom',    'm']]  "	"  [['Alan    C.    Blomquist',    'm'],    ['Bobby    Cohen',    'm'],    ['Richard    N.    Gladstein',    'm'],    ['Leslie    Holleran',    'NULL'],    ['Meryl    Poster',    'f'],    ['Bob    Weinstein',    'm'],    ['Harvey    Weinstein',    'm']]  "	0.411764706	0.257468403	0	0	0.142857143	0.111111111
