Title	IMDB	Budget	 Dom  Box  Office 	 Intl  Box  Office 	Score	Year	Writers	Directors	Producers	 Female  Character  Percentage 	 Female  Talk  Percentage 	 Female  Writer  Percentage 	 Female  Director  Percentage 	 Female  Producer  Percentage 	 Overall  Female  Production  Percentage 
 Star  Wars:  Episode  V  -  The  Empire  Strikes  Back 	80684	-6	-4	1530056854	0	1980				-6	-7	-8	-5	-5	-5
Fame	80716	-6	-4	223296214.2	3	1980				-6	-7	-8	-5	-5	-5
 Flash  Gordon 	80745	-6	-4	77646756.09	3	1980				-6	-7	-8	-5	-5	-5
 The  Fog 	80749	-6	-4	106120042.3	3	1980				-6	-7	-8	-5	-5	-5
 Friday  the  13th 	80761	-6	-4	262663343.3	2	1980				-6	-7	-8	-5	-5	-5
 Heaven&#39;s  Gate 	80855	-6	-4	9980352.396	0	1980				-6	-7	-8	-5	-5	-5
 Private  Benjamin 	81375	-6	-4	200067434.2	3	1980				-6	-7	-8	-5	-5	-5
 Raging  Bull 	81398	-6	-4	66969146.02	1	1980				-6	-7	-8	-5	-5	-5
 The  Shining 	81505	-6	-4	126081280.9	2	1980				-6	-7	-8	-5	-5	-5
 Somewhere  in  Time 	81534	-6	-4	27811709.23	2	1980				-6	-7	-8	-5	-5	-5
 Superman  II 	81573	-6	-4	309882010.6	3	1980				-6	-7	-8	-5	-5	-5
 Time  Bandits 	81633	-6	-4	97054162.92	1	1981				-6	-7	-8	-5	-5	-5
 Das  Boot 	82096	-6	-4	220500666.3	0	1981				-6	-7	-8	-5	-5	-5
 Conan  the  Barbarian 	82198	-6	-4	193393597	1	1982				-6	-7	-8	-5	-5	-5
 Escape  from  New  York 	82340	-6	-4	65510781.15	0	1981				-6	-7	-8	-5	-5	-5
 Friday  the  13th  Part  2 	82418	-6	-4	56371279.47	1	1981				-6	-7	-8	-5	-5	-5
 Halloween  II 	82495	-6	-4	66261051.93	3	1981				-6	-7	-8	-5	-5	-5
 Heavy  Metal 	82509	-6	-4	50787589.15	1	1981				-6	-7	-8	-5	-5	-5
 History  of  the  World:  Part  I 	82517	-6	-4	82189824.13	1	1981				-6	-7	-8	-5	-5	-5
 Raiders  of  the  Lost  Ark 	82971	-6	-4	1011870016	0	1981				-6	-7	-8	-5	-5	-5
 The  Best  Little  Whorehouse  in  Texas 	83642	-6	-4	170384960.7	3	1982				-6	-7	-8	-5	-5	-5
 Blade  Runner 	83658	-6	-4	81009468.11	1	1982				-6	-7	-8	-5	-5	-5
 Cat  People 	83722	-6	-4	51334291.87	3	1982				-6	-7	-8	-5	-5	-5
Diner	83833	-6	-4	30783236.87	1	1982				-6	-7	-8	-5	-5	-5
 E.T.:  The  Extra-Terrestrial 	83866	-6	-4	1938395882	3	1982				-6	-7	-8	-5	-5	-5
