Title	IMDB	Budget	Dom Box Office	Intl Box Office	Score	Year	Writers	Directors	Producers	Female Char %	Female Talk %	Female Writer %	Female Director %	Female Producer %	Overall Female Production %	Genre
Bamboozlee	215545	-6	-4	3380607	1	2000	" [['Spike Lee', 'm']] "	" [['Spike Lee', 'm']] "	" [['Jon Kilik', 'm'], ['Spike Lee', 'm']] "	0.307692308	0.160024418	0	0	0	0	&&&&
 Scary Movie 2 	257106	59795645.85	94712874.74	187610966.3	3	2001	" [['Shawn Wayans', 'm'], ['Marlon Wayans', 'm'], ['Alyson Fouse', 'f'], ['Greg Grabianski', 'm'], ['Dave Polsky', 'm'], ['Michael Anthony Snowden', 'm'], ['Craig Wayans', 'm']] "	" [['Keenen Ivory Wayans', 'm']] "	" [['Rick Alvarez', 'm'], ['Lisa Blum', 'f'], ['Eric L. Gold', 'm'], ['Tony Mark', 'm'], ['Lee R. Mayes', 'm'], ['Peter Schwerin', 'm'], ['Marlon Wayans', 'm'], ['Shawn Wayans', 'm'], ['Bob Weinstein', 'm'], ['Harvey Weinstein', 'm'], ['Brad Weston', 'm']] "	0.307692308	0.416023558	0.142857143	0	0.090909091	0.105263158	Comedy
 Fantastic Four 	120667	106405848.5	188120773.2	402174074.4	1	2005	" [['Mark Frost', 'm'], ['Michael France', 'm'], ['Stan Lee', 'm'], ['Jack Kirby', 'm']] "	" [['Tim Story', 'm']] "	" [['Avi Arad', 'm'], ['Michael Barnathan', 'm'], ['Chris Columbus', 'm'], ['Bernd Eichinger', 'm'], ['Ross Fanger', 'm'], ['Kevin Feige', 'm'], ['Stan Lee', 'm'], ['Mark Radcliffe', 'm'], ['Ralph Winter', 'm']] "	0.307692308	0.203527815	0	0	0	0	Action
 Bee Movie 	389790	170282742	143754140.5	326482621	1	2007				0.307692308	0.199408025	-5	-5	-5	-5	Comedy
 Elizabeth: The Golden Age 	414055	-6	-4	19712544	3	2007	" [['William Nicholson', 'm'], ['Michael Hirst', 'm']] "	" [['Shekhar Kapur', 'm']] "	" [['Tim Bevan', 'm'], ['Jonathan Cavendish', 'm'], ['Liza Chasin', 'f'], ['Eric Fellner', 'm'], ['Debra Hayward', 'f'], ['Michael Hirst', 'm'], ['Mary Richards', 'f']] "	0.307692308	0.525970476	0	0	0.428571429	0.3	&&&&
 Law Abiding Citizen 	1197624	58118831.16	80442742.45	143827418.2	1	2009	" [['Kurt Wimmer', 'm']] "	" [['F. Gary Gray', 'm']] "	" [['Gerard Butler', 'm'], ['Lucas Foster', 'm'], ['Mark Gill', 'm'], ['Michael Goguen', 'm'], ['Robert Katz', 'm'], ['Neil Sacker', 'm'], ['Alan Siegel', 'm'], ['Ian Watermeier', 'm'], ['Jeff G. Waxman', 'm'], ['Kurt Wimmer', 'm']] "	0.307692308	0.121055525	0	0	0	0	Thriller/Suspense
 It's Kind of a Funny Story 	804497	8681210.32	6905499.133	7197754.249	1	2010	" [['Anna Boden', 'f'], ['Ryan Fleck', 'm'], ['Ned Vizzini', 'm']] "	" [['Anna Boden', 'f'], ['Ryan Fleck', 'm']] "	" [['Patrick Baker', 'm'], ['Andy Berman', 'm'], ['Ben Browning', 'm'], ['Michael Maher', 'm'], ['Kevin Misher', 'm'], ['Peter Rawlinson', 'm'], ['Jeremy Kipp Walker', 'm']] "	0.307692308	0.180546228	0.333333333	0.5	0	0.166666667	Comedy
Legion	1038686	28213933.54	43588443.83	73407852.19	3	2010	" [['Peter Schink', 'm'], ['Scott Stewart', 'm']] "	" [['Scott Stewart', 'm']] "	" [['Steve Beswick', 'm'], ['David Lancaster', 'm'], ['Michel Litvak', 'NULL'], ['Jonathan Rothbart', 'm'], ['Marc Sadeghi', 'm'], ['Scott Stewart', 'm'], ['Gary Michael Walters', 'm']] "	0.307692308	0.306194362	0	0	0	0	Thriller/Suspense
Coriolanus	1372686	10490902.36	786440.763	-20	2	2011				0.307692308	0.222005925	-5	-5	-5	-5	&&&&
Hanna	993842	-6	-4	67098746	3	2011	" [['Seth Lochhead', 'm'], ['David Farr', 'm']] "	" [['Joe Wright', 'm']] "	" [['Marty Adelstein', 'm'], ['Christoph Fisser', 'm'], ['Barbara A. Hall', 'f'], ['Leslie Holleran', 'NULL'], ['Henning Molfenter', 'm'], ['Scott Nemes', 'm'], ['Charlie Woebcken', 'm']] "	0.307692308	0.545940273	0	0	0.142857143	0.1	&&&&
 The Master 	1560747	38651581.13	16746090.24	60597444.87	1	2012	" [['Paul Thomas Anderson', 'm']] "	" [['Paul Thomas Anderson', 'm']] "	" [['Paul Thomas Anderson', 'm'], ['Albert Chi', 'm'], ['Megan Ellison', 'f'], ['Daniel Lupi', 'm'], ['Ted Schipper', 'm'], ['JoAnne Sellar', 'f'], ['Adam Somner', 'm'], ['Will Weiske', 'm']] "	0.307692308	0.070017709	0	0	0.25	0.2	Drama
Ted	1637725	51535441.5	225380709	573091247.1	2	2012	" [['Seth MacFarlane', 'm'], ['Alec Sulkin', 'm'], ['Wellesley Wild', 'm']] "	" [['Seth MacFarlane', 'm']] "	" [['Jason Clark', 'm'], ['Eric Heffron', 'm'], ['John Jacobs', 'm'], ['Mark Kamine', 'm'], ['Seth MacFarlane', 'm'], ['Jon Mone', 'm'], ['Scott Stuber', 'm'], ['John Wiseman', 'm']] "	0.307692308	0.19027734	0	0	0	0	Comedy
 Young Frankenstein 	72431	13397552.36	412931705.1	412931705.1	2	1974				0.3	0.169742108	-7	-8	-9	-10	&&&&
Airplane!	80339	10025234.65	239040363.3	239040363.3	3	1980				0.3	0.273522976	-7	-8	-9	-10	&&&&
Spaceballs	94012	47146192.65	79171298.21	79171298.21	3	1987				0.3	0.186771823	-7	-8	-9	-10	&&&&
 Malcolm X 	104797	58863989.44	81013516.82	81013516.82	3	1992				0.3	0.09637608	-7	-8	-9	-10	&&&&
Pocahontas	114148	85304098.55	219587907.4	538346411	3	1995	" [['Carl Binder', 'm'], ['Susannah Grant', 'f'], ['Philip LaZebnik', 'm'], ['Tom Sito', 'm'], ['Glen Keane', 'm'], ['Joe Grant', 'm'], ['Ralph Zondag', 'm'], ['Burny Mattinson', 'm'], ['Ed Gombert', 'm'], ['Kaan Kalyon', 'm'], ['Francis Glebas', 'm'], ['Rob Gibbs', 'm'], ['Bruce Morris', 'm'], ['Todd Kurosawa', 'm'], ['Duncan Marjoribanks', 'm'], ['Chris Buck', 'm'], ['Mike Gabriel', 'm']] "	" [['Mike Gabriel', 'm'], ['Eric Goldberg', 'm']] "	" [['James Pentecost', 'm']] "	0.3	0.343098958	0.058823529	0	0	0.05	Adventure
Titanic	120338	295102932	971880637.7	3257369282	3	1997	" [['James Cameron', 'm']] "	" [['James Cameron', 'm']] "	" [['James Cameron', 'm'], ['Al Giddings', 'm'], ['Grant Hill', 'm'], ['Jon Landau', 'm'], ['Sharon Mann', 'f'], ['Rae Sanchini', 'm']] "	0.3	0.374400384	0	0	0.166666667	0.125	Thriller/Suspense
Blow	221027	39863763.9	70413724.78	110664859.5	1	2001	" [['Bruce Porter', 'm'], ['David McKenna', 'm'], ['Nick Cassavetes', 'm']] "	" [['Ted Demme', 'm']] "	" [['Michael De Luca', 'm'], ['Ted Demme', 'm'], ['Georgia Kacandes', 'NULL'], ['Tomas Krejci', 'm'], ['Denis Leary', 'm'], ['Joel Stillerman', 'm']] "	0.3	0.133242963	0	0	0	0	Drama
Scooby-Doo	267913	110439688.8	201544759.1	363260017.7	3	2002	" [['James Gunn', 'm'], ['Craig Titley', 'm']] "	" [['Raja Gosnell', 'm']] "	" [['Joseph Barbera', 'm'], ['Robert Engelman', 'm'], ['Alan Glazer', 'm'], ['William Hanna', 'm'], ['Andrew Mason', 'm'], ['Charles Roven', 'm'], ['Kelley Smith-Wait', 'NULL'], ['Richard Suckle', 'm']] "	0.3	0.270165209	0	0	0	0	Comedy
 The Devil's Rejects 	395584	-6	-4	25226428	3	2005	" [['Rob Zombie', 'm']] "	" [['Rob Zombie', 'm']] "	" [['Peter Block', 'm'], ['Michael Burns', 'm'], ['Mike Elliott', 'm'], ['Andy Gould', 'm'], ['Marco Mehlitz', 'm'], ['Brent Morris', 'm'], ['Michael Ohoven', 'm'], ['Guy Oseary', 'm'], ['Michael Paseornek', 'm'], ['Julie Yorn', 'f'], ['Rob Zombie', 'm']] "	0.3	0.197337378	0	0	0.090909091	0.076923077	&&&&
Brick	393109	-6	-4	2680826	1	2005	" [['Rian Johnson', 'm']] "	" [['Rian Johnson', 'm']] "	" [['Ram Bergman', 'm'], ['Marcie Campbell', 'NULL'], ['Norman Dreyfuss', 'NULL'], ['Susan Dynner', 'f'], ['Craig Johnson', 'm'], ['Lisa Johnson', 'f'], ['Dana Lustig', 'f'], ['Mark G. Mathis', 'm'], ['Angela Roessel', 'NULL']] "	0.3	0.163796596	0	0	0.333333333	0.272727273	&&&&
 Little Miss Sunshine 	449059	9325776.24	69816372.34	117321008	3	2006	" [['Michael Arndt', 'm']] "	" [['Jonathan Dayton', 'm'], ['Valerie Faris', 'f']] "	" [['Albert Berger', 'm'], ['Michael Beugg', 'm'], ['Jeb Brody', 'm'], ['David T. Friendly', 'm'], ['Peter Saraf', 'm'], ['Marc Turtletaub', 'm'], ['Ron Yerxa', 'm']] "	0.3	0.337674639	0	0.5	0	0.1	Comedy
Defiance	1034303	54812910.3	31402111.41	59442364	3	2008	" [['Clayton Frohman', 'm'], ['Edward Zwick', 'm'], ['Nechama Tec', 'NULL']] "	" [['Edward Zwick', 'm']] "	" [['Pieter Jan Brugge', 'm'], ['Clayton Frohman', 'm'], ['Marshall Herskovitz', 'm'], ['Roland Tec', 'm'], ['Edward Zwick', 'm'], ['Alex Boden', 'm']] "	0.3	0.138916796	0	0	0	0	&&&&
 Get Low 	1194263	7698448.933	10092592.98	10781154	1	2009	" [['Chris Provenzano', 'm'], ['C. Gaby Mitchell', 'NULL'], ['Scott Seeke', 'm']] "	" [['Aaron Schneider', 'm']] "	" [['Daniel Baur', 'm'], ['Rob Carliner', 'm'], ['Beth W. Crookham', 'f'], ['Blerim Destani', 'm'], ['Robert Duvall', 'm'], ['Scott Fischer', 'm'], ['Dariusz Gasiorowski', 'NULL'], ['David Ginsberg', 'm'], ['David Gundlach', 'm'], ['Don Mandrik', 'NULL'], ['Alain Midzic', 'm'], ['C. Gaby Mitchell', 'NULL'], ['Brad Park', 'm'], ['Brandie Park', 'NULL'], ['Chris Provenzano', 'm'], ['Joey Rappa', 'm'], ['Richard Luke Rothschild', 'm'], ['Oliver Simon', 'm'], ['Konrad Wojterkowski', 'NULL'], ['Dean Zanuck', 'm'], ['Harrison Zanuck', 'm']] "	0.3	0.147690497	0	0	0.047619048	0.04	&&&&
 The Messenger 	790712	7127781.18	1216832.871	1913482.465	1	2009	" [['Alessandro Camon', 'm'], ['Oren Moverman', 'm']] "	" [['Oren Moverman', 'm']] "	" [['Steffen Aumueller', 'NULL'], ['Gwen Bialic', 'NULL'], ['Claus Clausen', 'NULL'], ['Benjamin Goldhirsh', 'm'], ['Mark Gordon', 'm'], ['Lawrence Inglee', 'm'], ['Raymond Mansfield', 'm'], ['Christopher Mapp', 'm'], ['Zach Miller', 'm'], ['Shaun Redick', 'm'], ['Glenn M. Stewart', 'NULL'], ['Matthew Street', 'm'], ['David Whealy', 'm'], ['Bryan Zuriff', 'm']] "	0.3	0.148867314	0	0	0	0	Drama
 Another Year 	1431181	8656418.537	3468741.27	20846964	3	2010	" [['Mike Leigh', 'm']] "	" [['Mike Leigh', 'm']] "	" [['Gail Egan', 'NULL'], ['Georgina Lowe', 'NULL'], ['Tessa Ross', 'f']] "	0.3	0.591639871	0	0	0.333333333	0.2	&&&&
 Let Me In 	1228987	21703025.8	13168240.37	30677659.94	1	2010	" [['Matt Reeves', 'm'], ['John Ajvide Lindqvist', 'm']] "	" [['Matt Reeves', 'm']] "	" [['Tobin Armbrust', 'm'], ['Alexander Yves Brunner', 'm'], ['Guy East', 'm'], ['Philip Elway', 'm'], ['Donna Gigliotti', 'f'], ['Fredrik Malmberg', 'm'], ['Andy Mayson', 'NULL'], ['Carl Molinder', 'm'], ['John Nordling', 'm'], ['Simon Oakes', 'm'], ['John Ptak', 'm'], ['Vicki Dee Rock', 'f'], ['Marc Schipper', 'm'], ['Nigel Sinclair', 'm'], ['Robert Kessel', 'm']] "	0.3	0.274082911	0	0	0.133333333	0.111111111	Thriller/Suspense
 Horrible Bosses 	1499658	36675091.6	123163926.2	222583856.4	3	2011	" [['Michael Markowitz', 'm'], ['John Francis Daley', 'm'], ['Jonathan M. Goldstein', 'm']] "	" [['Seth Gordon', 'm']] "	" [['Richard Brener', 'm'], ['Samuel J. Brown', 'm'], ['John Cheng', 'm'], ['Michael Disco', 'm'], ['Toby Emmerich', 'm'], ['Diana Pokorny', 'f'], ['Brett Ratner', 'm'], ['John Rickard', 'm'], ['Mary Rohlich', 'f'], ['Jay Stern', 'NULL']] "	0.3	0.091649695	0	0	0.2	0.142857143	Comedy
 Ides Of March 	1124035	-6	-4	79944700	1	2011	" [['George Clooney', 'm'], ['Grant Heslov', 'm'], ['Beau Willimon', 'NULL']] "	" [['George Clooney', 'm']] "	" [['George Clooney', 'm'], ['Leonardo DiCaprio', 'm'], ['Guy East', 'm'], ['Barbara A. Hall', 'f'], ['Grant Heslov', 'm'], ['Jennifer Davisson Killoran', 'f'], ['Randy Manis', 'm'], ['Brian Oliver', 'm'], ['Stephen Pevner', 'm'], ['Ari Daniel Pinchot', 'm'], ['Jonathan Rubenstein', 'm'], ['Nigel Sinclair', 'm'], ['Todd Thompson', 'm'], ['Beau Willimon', 'NULL'], ['Nina Wolarsky', 'f'], ['Matthew Salloway', 'm']] "	0.3	0.135776877	0	0	0.1875	0.15	&&&&
 The Smurfs 	472181	115264573.6	-12.57431712	590730230.3	3	2011	" [['J. David Stem', 'm'], ['David N. Weiss', 'm'], ['Jay Scherick', 'm'], ['David Ronn', 'm'], ['Peyo', 'm']] "	" [['Raja Gosnell', 'm']] "	" [['Hendrik Coysman', 'm'], ['Veronique Culliford', 'f'], ['Ben Haber', 'm'], ['Jordan Kerner', 'm'], ['Paul Neesan', 'm'], ['Ezra Swerdlow', 'm']] "	0.3	0.237250294	0	0	0.166666667	0.083333333	Adventure
Hitchcock	975645	-5.15354415	6193196.441	25502667.79	2	2012	" [['John J. McLaughlin', 'm'], ['Stephen Rebello', 'm']] "	" [['Sacha Gervasi', 'm']] "	" [['Alan Barnette', 'm'], ['Ali Bell', 'NULL'], ['Joe Medjuck', 'm'], ['Richard Middleton', 'm'], ['Tom Pollock', 'm'], ['Ivan Reitman', 'm'], ['John Schneider', 'm'], ['Tom Thayer', 'm']] "	0.3	0.309716072	0	0	0	0	Drama
 Insidious: Chapter 2 	2226417	5064688.4	84667861.7	166129220	2	2013	" [['James Wan', 'm'], ['Leigh Whannell', 'm']] "	" [['James Wan', 'm']] "	" [['Jason Blum', 'm'], ['Jeanette Brill', 'f'], ['Lia Buman', 'NULL'], ['Brian Kavanaugh-Jones', 'm'], ['Charles Layton', 'm'], ['John R. Leonetti', 'm'], ['Xavier Marchand', 'm'], ['Rick Osako', 'm'], ['Oren Peli', 'm'], ['Peter Schlessel', 'm'], ['Steven Schneider', 'm']] "	0.3	0.422612337	0	0	0.090909091	0.071428571	&&&&
 The Counselor 	2193215	25323442	17193315.49	71928030.04	3	2013	" [['Cormac McCarthy', 'm']] "	" [['Ridley Scott', 'm']] "	" [['Michael Costigan', 'm'], ['Mark Huffam', 'm'], ['Cormac McCarthy', 'm'], ['Michael Schaefer', 'm'], ['Paula Mae Schwartz', 'f'], ['Steve Schwartz', 'm'], ['Ridley Scott', 'm'], ['Nick Wechsler', 'm']] "	0.3	0.201722017	0	0	0.125	0.1	Thriller/Suspense
 The Secret Life of Walter Mitty 	359950	92177328.88	58990287.57	190976067.3	3	2013	" [['Steve Conrad', 'm'], ['James Thurber', 'm']] "	" [['Ben Stiller', 'm']] "	" [['G. Mac Brown', 'm'], ['Stuart Cornfeld', 'm'], ['Samuel Goldwyn Jr.', 'm'], ['John Goldwyn', 'm'], ['Meyer Gottlieb', 'NULL'], ['Jeff Mann', 'm'], ['Ben Stiller', 'm'], ['Gore Verbinski', 'm'], ['Kurt Williams', 'm']] "	0.3	0.142200664	0	0	0	0	Comedy
 The Drop 	1600196	-4.9618617	10642587.01	18909192.49	1	2014	" [['Dennis Lehane', 'm']] "	" [['Michael R. Roskam', 'm']] "	" [['Blair Breard', 'f'], ['Peter Chernin', 'm'], ['Dylan Clark', 'm'], ['David Greenbaum', 'm'], ['Mike Larocca', 'm']] "	0.3	0.197415271	0	0	0.2	0.142857143	Drama
 While We're Young 	1791682	-6	-4	-20	3	2014				0.3	0.285799829	-5	-5	-5	-5	&&&&
Chef	2883512	-4.9618617	31184312.38	46472110.95	1	2014	" [['Jon Favreau', 'm']] "	" [['Jon Favreau', 'm']] "	" [['Molly Allen', 'f'], ['Marina Bespalov', 'NULL'], ['Sergei Bespalov', 'm'], ['James D. Brubaker', 'm'], ['Craig Chapman', 'm'], ['Roy Choi', 'm'], ['Philip Elway', 'm'], ['Jon Favreau', 'm'], ['Gleb Fetisov', 'm'], ['Jerry Fruchtman', 'm'], ['Peter Fruchtman', 'm'], ['Karen Gilchrist', 'f'], ['Jere Hausfater', 'NULL'], ['Mark C. Manuel', 'm'], [""""Ted O'Neal"""", 'm'], ['Jason Rose', 'm'], ['Dylan Russell', 'm'], ['Anne Sheehan', 'f'], ['Tim Smith', 'm'], ['Scott Steindorff', 'm'], ['Boris Teterev', 'm'], ['Oleg Teterin', 'm'], ['Mark Brooke', 'm'], ['Olga Lesnova', 'f']] "	0.3	0.205848684	0	0	0.166666667	0.153846154	Comedy
Youth	3312830	-6	-4	-20	1	2015				0.3	0.211660896	-5	-5	-5	-5	&&&&
 In the Loop 	1226774	-6	-4	8659686	3	2009	" [['Jesse Armstrong', 'm'], ['Simon Blackwell', 'm'], ['Armando Iannucci', 'm'], ['Tony Roche', 'NULL'], ['Harold Manning', 'm']] "	" [['Armando Iannucci', 'm']] "	" [['Simon Fawcett', 'm'], ['Paula Jalfon', 'f'], ['Christine Langan', 'f'], ['Kevin Loader', 'm'], ['Adam Tandy', 'm'], ['David M. Thompson', 'm'], ['Mark Brooke', 'm']] "	0.294117647	0.242268041	0	0	0.285714286	0.153846154	&&&&
Southpaw	1798684	30000000	-12	94207861	2	2015	" [['Kurt Sutter', 'm']] "	" [['Antoine Fuqua', 'm']] "	" [['Todd Black', 'm'], ['David J. Bloomfield', 'm'], ['Jason Blumenthal', 'm'], ['Gary Cheng', 'm'], ['Antoine Fuqua', 'm'], ['Jonathan Garrison', 'm'], ['Stuart Parr', 'm'], ['David Ranes', 'm'], ['Alan Riche', 'm'], ['Peter Riche', 'm'], ['Paul Rosenberg', 'm'], ['Kat Samick', 'NULL'], ['David L. Schiff', 'm'], ['Dylan Sellers', 'm'], ['Kurt Sutter', 'm'], ['Ezra Swerdlow', 'm'], ['Steve Tisch', 'm'], ['Bob Weinstein', 'm'], ['Harvey Weinstein', 'm'], ['Ning Ye', 'NULL'], ['Fang Zhao', 'NULL']] "	0.294117647	0.181729576	0	0	0	0	Drama
Copycat	112722	-6	-4	61443525	3	1995	" [['Ann Biderman', 'f'], ['David Madsen', 'm']] "	" [['Jon Amiel', 'm']] "	" [['Joseph M. Caracciolo Jr.', 'm'], ['John Fiedler', 'm'], ['Arnon Milchan', 'm'], ['Michael G. Nathanson', 'm'], ['Mark Tarlov', 'm']] "	0.285714286	0.618051818	0.5	0	0	0.125	&&&&
 Beavis and Butt-Head Do America 	115641	-6	-4	119104394	1	1996	" [['Mike Judge', 'm'], ['Joe Stillman', 'm'], ['Brian Mulroney', 'm']] "	" [['Mike Judge', 'm'], ['Mike de Seve', 'm'], ['Yvette Kaplan', 'f'], ['Brian Mulroney', 'm']] "	" [['John Andrews', 'm'], ['Michael Blakey', 'm'], ['David Gale', 'm'], ['Abby Terkuhle', 'f'], ['Van Toffler', 'm'], ['Mike Judge', 'm']] "	0.285714286	0.148412925	0	0.25	0.166666667	0.153846154	&&&&
Twister	117998	132828334.3	364807563.7	748215969.6	3	1996	" [['Michael Crichton', 'm'], ['Anne-Marie Martin', 'f']] "	" [['Jan de Bont', 'm']] "	" [['Ian Bryce', 'm'], ['Michael Crichton', 'm'], ['Kathleen Kennedy', 'f'], ['Laurie MacDonald', 'f'], ['Gerald R. Molen', 'm'], ['Walter F. Parkes', 'm'], ['Steven Spielberg', 'm']] "	0.285714286	0.583471623	0.5	0	0.285714286	0.3	Action
 American History X 	120586	-6	-4	42449976	2	1998	" [['David McKenna', 'm']] "	" [['Tony Kaye', 'm']] "	" [['Bill Carraro', 'm'], ['Michael De Luca', 'm'], ['Jon Hess', 'm'], ['David McKenna', 'm'], ['John Morrissey', 'm'], ['Kearie Peak', 'NULL'], ['Steve Tisch', 'm'], ['Lawrence Turman', 'm'], ['Brian Witten', 'm']] "	0.285714286	0.169178794	0	0	0	0	&&&&
Rushmore	128445	14510736.2	24820932.06	27687115.89	3	1998	" [['Wes Anderson', 'm'], ['Owen Wilson', 'm']] "	" [['Wes Anderson', 'm']] "	" [['Wes Anderson', 'm'], ['John Cameron', 'm'], ['Barry Mendel', 'm'], ['Paul Schiff', 'm'], ['Owen Wilson', 'm']] "	0.285714286	0.196187303	0	0	0	0	Black Comedy
 Stuart Little 	164912	149429151.9	-17.07761736	425254338.1	1	1999	" [['E.B. White', 'm'], ['M. Night Shyamalan', 'm'], ['Greg Brooker', 'm']] "	" [['Rob Minkoff', 'm']] "	" [['Jason Clark', 'm'], ['Jeff Franklin', 'm'], ['Steve Waterman', 'm'], ['Douglas Wick', 'm']] "	0.285714286	0.187788906	0	0	0	0	Comedy
 Jurassic Park III 	163025	123577668.1	240732107.8	486205040.4	2	2001	" [['Peter Buchman', 'm'], ['Alexander Payne', 'm'], ['Jim Taylor', 'm']] "	" [['Joe Johnston', 'm']] "	" [['Larry J. Franco', 'm'], ['Kathleen Kennedy', 'f'], ['Steven Spielberg', 'm']] "	0.285714286	0.199467441	0	0	0.333333333	0.142857143	Action
 Queen of the Damned 	238546	46016537	39847433.83	39847433.83	3	2002	" [['Anne Rice', 'f'], ['Scott Abbott', 'm'], ['Michael Petroni', 'm']] "	" [['Michael Rymer', 'm']] "	" [['Su Armstrong', 'f'], ['Bruce Berman', 'm'], ['Channing Dungey', 'f'], ['Bill Gerber', 'm'], ['Andrew Mason', 'm'], ['Jorge Saralegui', 'm']] "	0.285714286	0.364268555	0.333333333	0	0.333333333	0.3	Horror
 The Jacket 	366627	34657904.94	7662596.464	18791854.13	2	2005	" [['Tom Bleecker', 'm'], ['Marc Rocco', 'm'], ['Massy Tadjedin', 'f']] "	" [['John Maybury', 'm']] "	" [['George Clooney', 'm'], ['Ben Cosgrove', 'm'], ['Mark Cuban', 'm'], ['Jennifer Fox', 'f'], ['Marc Frydman', 'm'], ['Andreas Grosch', 'NULL'], ['Peter Guber', 'm'], ['Kia Jam', 'm'], ['Ori Marmur', 'm'], ['Peter McAleese', 'm'], ['Donald C. McKeon', 'm'], ['Philip McKeon', 'm'], ['Timothy J. Nicholas', 'm'], ['Chris Roberts', 'm'], ['Marc Rocco', 'm'], ['Andreas Schmid', 'NULL'], ['Steven Soderbergh', 'm'], ['Peter E. Strauss', 'm'], ['Todd Wagner', 'm']] "	0.285714286	0.289127723	0.333333333	0	0.052631579	0.086956522	Thriller/Suspense
 V for Vendetta 	434409	-6	-4	172396857	3	2005	" [['Andy Wachowski', 'm'], ['Lana Wachowski', 'f'], ['David Lloyd', 'm']] "	" [['James McTeigue', 'm']] "	" [['Grant Hill', 'm'], ['Roberto Malerba', 'm'], ['Henning Molfenter', 'm'], ['Lorne Orleans', 'm'], ['Joel Silver', 'm'], ['Andy Wachowski', 'm'], ['Lana Wachowski', 'f'], ['Ben Waisbren', 'm'], ['Charlie Woebcken', 'm']] "	0.285714286	0.422482382	0.333333333	0	0.111111111	0.153846154	&&&&
 No Country for Old Men 	477348	28380457	84316640.6	186233977.9	3	2007	" [['Joel Coen', 'm'], ['Ethan Coen', 'm'], ['Cormac McCarthy', 'm']] "	" [['Ethan Coen', 'm'], ['Joel Coen', 'm']] "	" [['Ethan Coen', 'm'], ['Joel Coen', 'm'], ['Robert Graf', 'm'], ['Mark Roybal', 'm'], ['Scott Rudin', 'm']] "	0.285714286	0.146033654	0	0	0	0	Action
Next	435705	-5.6760914	20673474.85	83542416.05	2	2007	" [['Gary Goldman', 'm'], ['Jonathan Hensleigh', 'm'], ['Paul Bernbaum', 'm'], ['Philip K. Dick', 'm']] "	" [['Lee Tamahori', 'm']] "	" [['Nicolas Cage', 'm'], ['Todd Garner', 'm'], ['Gary Goldman', 'm'], ['Norman Golightly', 'm'], ['Graham King', 'm'], ['Jason Koornick', 'm'], ['Arne Schmidt', 'NULL'], ['Ben Waisbren', 'm']] "	0.285714286	0.452763256	0	0	0	0	Action
 Nick and Norah's Infinite Playlist 	981227	10809359.5	34035746.97	36628613.98	3	2008	" [['Lorene Scafaria', 'f'], ['Rachel Cohn', 'f'], ['David Levithan', 'm']] "	" [['Peter Sollett', 'm']] "	" [['Adam Brightman', 'm'], ['Nicole Brown', 'f'], ['Joseph Drake', 'm'], ['Nathan Kahane', 'm'], ['Kerry Kohansky-Roberts', 'f'], ['Kelli Konop', 'f'], ['Andrew Miano', 'm'], ['Chris Weitz', 'm'], ['Paul Weitz', 'm']] "	0.285714286	0.269849691	0.666666667	0	0.333333333	0.384615385	Drama
 The Brothers Bloom 	844286	-6	-4	6426748	3	2008	" [['Rian Johnson', 'm']] "	" [['Rian Johnson', 'm']] "	" [['Ram Bergman', 'm'], ['Matthew J. Birch', 'm'], ['Douglas Hansen', 'm'], ['Wendy Japhet', 'f'], ['Tom Karnowski', 'm'], ['James D. Stern', 'm']] "	0.285714286	0.320209211	0	0	0.166666667	0.125	&&&&
 While She Was Out 	887971	-6	-4	-20	3	2008				0.285714286	0.252712189	-5	-5	-5	-5	&&&&
 A Serious Man 	1019452	7676072.04	10120120.22	33292846.07	2	2009	" [['Joel Coen', 'm'], ['Ethan Coen', 'm']] "	" [['Ethan Coen', 'm'], ['Joel Coen', 'm']] "	" [['Tim Bevan', 'm'], ['Ethan Coen', 'm'], ['Joel Coen', 'm'], ['Eric Fellner', 'm'], ['Robert Graf', 'm']] "	0.285714286	0.095913169	0	0	0	0	Comedy
 A Single Man 	1315981	7676072.04	10062233.86	30860418.37	1	2009	" [['Christopher Isherwood', 'm'], ['Tom Ford', 'm'], ['David Scearce', 'm']] "	" [['Tom Ford', 'm']] "	" [['Jason Alisharan', 'm'], ['Tom Ford', 'm'], ['Andrew Miano', 'm'], ['Robert Salerno', 'm'], ['Chris Weitz', 'm']] "	0.285714286	0.176828238	0	0	0	0	Drama
 The Young Victoria 	962736	38380360.2	12063793.77	34957809.12	3	2009	" [['Julian Fellowes', 'm']] "	" [['Jean-Marc Vallee', 'm']] "	" [['Sarah Ferguson', 'f'], ['Tim Headington', 'm'], ['Graham King', 'm'], [""""Denis O'Sullivan"""", 'NULL'], ['Anita Overland', 'NULL'], ['Martin Scorsese', 'm'], ['Colin Vaines', 'm']] "	0.285714286	0.479941586	0	0	0.142857143	0.111111111	Drama
