Title	IMDB	Budget	Dom Box Office	Intl Box Office	Score	Year	Writers	Directors	Producers	Female Char %	Female Talk %	Female Writer %	Female Director %	Female Producer %	Overall Female Production %	Genre
 127 Hours 	1542344	19532723.22	19896498.49	65344740.79	3	2010	" [['Danny Boyle', 'm'], ['Simon Beaufoy', 'm'], ['Aron Ralston', 'm']] "	" [['Danny Boyle', 'm']] "	" [['Bernard Bellew', 'm'], ['Danny Boyle', 'm'], ['Christian Colson', 'm'], ['Lisa Maria Falcone', 'f'], ['Tom Heller', 'm'], ['Francois Ivernel', 'm'], ['John J. Kelly', 'm'], ['Cameron McCracken', 'm'], ['Tessa Ross', 'f'], ['Gareth Smith', 'NULL'], ['John Smithson', 'm']] "	0.75	0.157240039	0	0	0.181818182	0.133333333	Drama
 Never Let Me Go 	1334260	16230784.63	2634420.969	9994180	3	2010	" [['Kazuo Ishiguro', 'm'], ['Alex Garland', 'm']] "	" [['Mark Romanek', 'm']] "	" [['Alex Garland', 'm'], ['Richard Hewitt', 'm'], ['Kazuo Ishiguro', 'm'], ['Andrew Macdonald', 'm'], ['Allon Reich', 'NULL'], ['Tessa Ross', 'f']] "	0.75	0.778978237	0	0	0.166666667	0.111111111	&&&&
 The Ward 	1369706	-6	-4	-20	3	2010				0.75	0.680362117	-5	-5	-5	-5	&&&&
Greenberg	1234654	-5.42575645	4594715.038	7989949.416	1	2010	" [['Jennifer Jason Leigh', 'f'], ['Noah Baumbach', 'm']] "	" [['Noah Baumbach', 'm']] "	" [['Jennifer Jason Leigh', 'f'], ['Scott Rudin', 'm'], ['Lila Yacoub', 'f']] "	0.75	0.326744507	0.5	0	0.666666667	0.5	Romantic Comedy
 We Need to Talk About Kevin 	1242460	-6	-4	6352967	3	2011	" [['Lynne Ramsay', 'f'], ['Rory Stewart Kinnear', 'm'], ['Lionel Shriver', 'f']] "	" [['Lynne Ramsay', 'f']] "	" [['Suzanne Baron', 'f'], ['Michael Corso', 'm'], ['Christopher Figg', 'm'], ['Jennifer Fox', 'f'], ['Simon Greenall', 'm'], ['Anthony Gudas', 'm'], ['Paula Jalfon', 'f'], ['Lisa Lambert', 'f'], ['Christine Langan', 'f'], ['Norman Merry', 'm'], ['Andrew Orr', 'm'], ['Lynne Ramsay', 'f'], ['Michael Robinson', 'm'], ['Luc Roeg', 'm'], ['Robert Salerno', 'm'], ['Steven Soderbergh', 'm'], ['Tilda Swinton', 'f'], ['Leslie Thomas', 'NULL'], ['Robert Whitehouse', 'm']] "	0.75	0.651593773	0.666666667	1	0.368421053	0.434782609	&&&&
Amour	1602620	9969326.569	6926065.72	-20	3	2012				0.75	0.354176316	-5	-5	-5	-5	&&&&
Wadjda	2258858	-6	-4	-20	3	2013				0.75	0.870567149	-5	-5	-5	-5	&&&&
Ouija	1204977	4961861.7	50468097.65	102892480.7	3	2014	" [['Juliet Snowden', 'f'], ['Stiles White', 'm']] "	" [['Stiles White', 'm']] "	" [['Michael Bay', 'm'], ['Jason Blum', 'm'], ['Stephen Davis', 'm'], ['Andrew Form', 'm'], ['Bradley Fuller', 'm'], ['Brian Goldner', 'm'], ['Rick Osako', 'm'], ['Daniel Persitz', 'm'], ['Couper Samuelson', 'm'], ['Bennett Schneir', 'NULL'], ['Juliet Snowden', 'f']] "	0.75	0.75486229	0.5	0	0.090909091	0.142857143	Horror
Grandma	4270516	-5	6980524	7537609	3	2015	" [['Paul Weitz', 'm']] "	" [['Paul Weitz', 'm']] "	" [['Dan Balgoyen', 'm'], ['Terry Dougas', 'm'], ['Paris Kasidokostas Latsis', 'm'], ['Stephanie Meurer', 'f'], ['Andrew Miano', 'm'], ['Danielle Renfrew', 'f'], ['Brenda Vogel', 'NULL'], ['Paul Weitz', 'm']] "	0.75	0.89413744	0	0	0.25	0.2	Comedy
 Please Give 	878835	3255453.87	4377038.029	4959334.552	3	2010	" [['Nicole Holofcener', 'f']] "	" [['Nicole Holofcener', 'f']] "	" [['Anthony Bregman', 'm'], ['Caroline Jaczko', 'f']] "	0.727272727	0.829418046	1	1	0.5	0.75	Black Comedy
Pariah	1233334	-5.2392988	806382.574	806382.574	3	2011	" [['Dee Rees', 'f']] "	" [['Dee Rees', 'f']] "	" [['Ann Bradley', 'f'], ['Joey Carey', 'm'], ['Nekisa Cooper', 'f'], ['Douglas Eisenberg', 'm'], ['Wendy Ettinger', 'f'], ['Judith Helfand', 'f'], ['Spike Lee', 'm'], ['Susan Lewis', 'f'], ['Miles Maker', 'm'], ['Sam Martin', 'm'], ['Jeanine Mclean', 'f'], ['Stefan Nowicki', 'NULL'], ['Julie Parker Benello', 'f'], ['Jeff Robinson', 'm'], ['Clive Salmon', 'm'], ['Matthew J. Simon', 'm'], ['Mary Jane Skalski', 'f'], ['Benjamin Weber', 'm']] "	0.727272727	0.804556355	1	1	0.444444444	0.5	Drama
 The Bridges of Madison County 	112579	34121639.42	110921100.8	272223396.2	3	1995	" [['Richard LaGravenese', 'm'], ['Robert James Waller', 'm']] "	" [['Clint Eastwood', 'm']] "	" [['Clint Eastwood', 'm'], ['Kathleen Kennedy', 'f']] "	0.714285714	0.588520488	0	0	0.5	0.2	Drama
 Practical Magic 	120791	87064417.2	67983608.8	99162013.62	3	1998	" [['Alice Hoffman', 'NULL'], ['Robin Swicord', 'f'], ['Akiva Goldsman', 'm'], ['Adam Brooks', 'm']] "	" [['Griffin Dunne', 'm']] "	" [['Bruce Berman', 'm'], ['Denise Di Novi', 'f'], ['Mary McLaglen', 'f'], ['Robin Swicord', 'f']] "	0.714285714	0.856693364	0.25	0	0.75	0.444444444	Comedy
 What Lies Beneath 	161081	123475928.4	213290056.4	396075092.4	3	2000	" [['Clark Gregg', 'm'], ['Sarah Kernochan', 'f']] "	" [['Robert Zemeckis', 'm']] "	" [['Joan Bradshaw', 'f'], ['Mark Johnson', 'm'], ['Jack Rapke', 'm'], ['Steve Starkey', 'm'], ['Robert Zemeckis', 'm']] "	0.714285714	0.652212785	0.5	0	0.2	0.25	Thriller/Suspense
Brooklyn	2381111	-6	-4	-20	3	2015				0.705882353	0.675811704	-5	-5	-5	-5	&&&&
 Mean Girls 	377092	22443067.98	107286875.8	163277092.5	3	2004	" [['Rosalind Wiseman', 'f'], ['Tina Fey', 'f']] "	" [['Mark Waters', 'm']] "	" [['Jill Sobel Messick', 'f'], ['Lorne Michaels', 'm'], ['Louise Rosner', 'f'], ['Tony Shimkin', 'NULL']] "	0.7	0.820999367	1	0	0.5	0.571428571	Comedy
 The Back-up Plan 	1212436	37980295.15	40682329.46	81691468.5	3	2010	" [['Kate Angelo', 'f']] "	" [['Alan Poul', 'm']] "	" [['Todd Black', 'm'], ['David J. Bloomfield', 'm'], ['Jason Blumenthal', 'm'], ['Christine Coggins', 'f'], ['Lance Johnson', 'NULL'], ['Rodney Liber', 'm'], ['Steve Tisch', 'm']] "	0.7	0.65580415	1	0	0.142857143	0.222222222	Romantic Comedy
 The Roommate 	1265990	16765756.16	39085281.17	55060531.93	3	2011	" [['Sonny Mallhi', 'm'], ['Chris Bylsma', 'm'], ['Nick Bylsma', 'm'], ['Richard Robertson', 'm']] "	" [['Christian E. Christiansen', 'm']] "	" [['Doug Davison', 'm'], ['Roy Lee', 'm'], ['Sonny Mallhi', 'm'], ['Beau Marks', 'NULL']] "	0.7	0.869879007	0	0	0	0	Thriller/Suspense
