person1	 person1  av 	person2	 person2  av 	sharedTitles	numSharedTitles
 Harvey  Weinstein 	2.3473684210526304	 Jennifer  Berman 	3	['Chicago']	1	3.0
 Harvey  Weinstein 	2.3473684210526304	 Sam  Crothers 	3	['Chicago']	1	3.0
 Harvey  Weinstein 	2.3473684210526304	 Martin  Richards 	3	['Chicago']	1	3.0
 Tim  Bevan 	2.309523809523809	 Steve  Golin 	2.2666666666666666	 ['  Big  Miracle  '] 	1	3.0
 Tim  Bevan 	2.309523809523809	 Christopher  Hampton 	2.75	['Atonement']	1	3.0
 Tim  Bevan 	2.309523809523809	 William  Nicholson 	1.5	 ['  Les  Miserables  ',  '  Elizabeth:  The  Golden  Age  '] 	2	3.0
 Tim  Bevan 	2.309523809523809	 Michael  Hirst 	3.0	 ['Elizabeth',  '  Elizabeth:  The  Golden  Age  '] 	2	3.0
 Tim  Bevan 	2.309523809523809	 Shekhar  Kapur 	3.0	 ['Elizabeth',  '  Elizabeth:  The  Golden  Age  '] 	2	3.0
 Tim  Bevan 	2.309523809523809	 Jane  Frazer 	2.6	 ['Atonement',  '  Pride  and  Prejudice  '] 	2	3.0
 Tim  Bevan 	2.309523809523809	 Michael  London 	1.9	['Thirteen']	1	3.0
 Tim  Bevan 	2.309523809523809	 Alison  Owen 	2.7	 ['  Shaun  of  the  Dead  ',  'Elizabeth'] 	2	3.0
 Tim  Bevan 	2.309523809523809	 Richard  Eyre 	3.0	['Atonement']	1	3.0
 Tim  Bevan 	2.309523809523809	 Robert  Fox 	3.0	['Atonement']	1	3.0
 Tim  Bevan 	2.309523809523809	 Ian  McEwan 	3.0	['Atonement']	1	3.0
 Liza  Chasin 	2.5714285714285716	 Steve  Golin 	2.2666666666666666	 ['  Big  Miracle  '] 	1	3.0
 Liza  Chasin 	2.5714285714285716	 Christopher  Hampton 	2.75	['Atonement']	1	3.0
 Liza  Chasin 	2.5714285714285716	 William  Nicholson 	1.5	 ['  Les  Miserables  ',  '  Elizabeth:  The  Golden  Age  '] 	2	3.0
 Liza  Chasin 	2.5714285714285716	 Michael  Hirst 	3.0	 ['Elizabeth',  '  Elizabeth:  The  Golden  Age  '] 	2	3.0
 Liza  Chasin 	2.5714285714285716	 Shekhar  Kapur 	3.0	 ['Elizabeth',  '  Elizabeth:  The  Golden  Age  '] 	2	3.0
 Liza  Chasin 	2.5714285714285716	 Jane  Frazer 	2.6	 ['Atonement',  '  Pride  and  Prejudice  '] 	2	3.0
 Liza  Chasin 	2.5714285714285716	 Michael  London 	1.9	['Thirteen']	1	3.0
 Liza  Chasin 	2.5714285714285716	 Alison  Owen 	2.7	['Elizabeth']	1	3.0
 Liza  Chasin 	2.5714285714285716	 Richard  Eyre 	3.0	['Atonement']	1	3.0
 Liza  Chasin 	2.5714285714285716	 Robert  Fox 	3.0	['Atonement']	1	3.0
 Liza  Chasin 	2.5714285714285716	 Ian  McEwan 	3.0	['Atonement']	1	3.0
 Eric  Fellner 	2.3170731707317076	 Steve  Golin 	2.2666666666666666	 ['  Big  Miracle  '] 	1	3.0
 Eric  Fellner 	2.3170731707317076	 Christopher  Hampton 	2.75	['Atonement']	1	3.0
 Eric  Fellner 	2.3170731707317076	 William  Nicholson 	1.5	 ['  Les  Miserables  ',  '  Elizabeth:  The  Golden  Age  '] 	2	3.0
 Eric  Fellner 	2.3170731707317076	 Michael  Hirst 	3.0	 ['Elizabeth',  '  Elizabeth:  The  Golden  Age  '] 	2	3.0
 Eric  Fellner 	2.3170731707317076	 Shekhar  Kapur 	3.0	 ['Elizabeth',  '  Elizabeth:  The  Golden  Age  '] 	2	3.0
 Eric  Fellner 	2.3170731707317076	 Jane  Frazer 	2.6	 ['Atonement',  '  Pride  and  Prejudice  '] 	2	3.0
