person1	 person1  av 	person2	 person2  av 	sharedTitles	numSharedTitles
 John  Lasseter 	1.8787878787878791	 Pete  Docter 	1.5454545454545454	 ['  Monsters    University  ',  'WALL-E',  'Up',  '  "Monsters,    Inc."  ',  '  Toy    Story  ',  '  Inside    Out  ',  'Brave',  '  Toy    Story    2  '] 	8	1.5
 John  Lasseter 	1.8787878787878791	 Lee  Unkrich 	1.6666666666666667	 ['  Finding    Nemo  ',  '  Monsters    University  ',  '  "Monsters,    Inc."  ',  '  Toy    Story    3  ',  '  Toy    Story    2  '] 	5	1.4
 Andrew  Stanton 	1.7777777777777777	 Pete  Docter 	1.5454545454545454	 ['  Monsters    University  ',  'WALL-E',  'Up',  '  "Monsters,    Inc."  ',  '  Toy    Story  ',  '  Inside    Out  ',  'Brave',  '  Toy    Story    2  '] 	8	1.5
 Andrew  Stanton 	1.7777777777777777	 Lee  Unkrich 	1.6666666666666667	 ['  Finding    Nemo  ',  '  Monsters    University  ',  '  "Monsters,    Inc."  ',  '  Toy    Story    3  ',  '  Toy    Story    2  '] 	5	1.4
 Amy  Jump 	2.0	 Ben  Wheatley 	2.0	 ['  Kill    List  ',  '  The    Duke    of    Burgundy  ',  '  A    Field    in    England  '] 	3	2.0
 Seth  MacFarlane 	1.6666666666666667	 Alec  Sulkin 	1.75	 ['  Ted    2  ',  'Ted',  '  A    Million    Ways    to    Die    in    the    West  '] 	3	1.6666666666666667
 Seth  MacFarlane 	1.6666666666666667	 Wellesley  Wild 	1.75	 ['  Ted    2  ',  'Ted',  '  A    Million    Ways    to    Die    in    the    West  '] 	3	1.6666666666666667
 Alec  Sulkin 	1.75	 Wellesley  Wild 	1.75	 ['  Ted    2  ',  'Ted',  '  A    Million    Ways    to    Die    in    the    West  '] 	3	1.6666666666666667
 Jonathan  King 	2.230769230769231	 Steven  Spielberg 	1.76	 ['Lincoln',  '  Bridge    of    Spies  ',  '  The    Hundred-Foot    Journey  '] 	3	2.3333333333333335
 George  Clooney 	1.2857142857142858	 Steven  Soderbergh 	1.9285714285714286	 ['  Confessions    of    a    Dangerous    Mind  ',  '  A    Scanner    Darkly  ',  'Insomnia',  '  Michael    Clayton  ',  '  "Good    Night,    and    Good    Luck."  ',  '  The    Informant!  ',  '  Far    from    Heaven  ',  '  The    Jacket  ',  '  Rumor    Has    It...  '] 	9	1.7777777777777777
 George  Clooney 	1.2857142857142858	 Grant  Heslov 	1.1666666666666667	 ['  The    Men    Who    Stare    at    Goats  ',  '  The    Monuments    Men  ',  '  "Good    Night,    and    Good    Luck."  ',  '  August:    Osage    County  ',  '  Ides    Of    March  ',  'Argo',  '  The    American  '] 	7	1.2857142857142858
 Steven  Soderbergh 	1.9285714285714286	 Scott  Z.  Burns 	2.4	 ['  The    Informant!  ',  'Contagion',  '  Side    Effects  '] 	3	2.3333333333333335
 Joel  Coen 	1.8333333333333333	 Ethan  Coen 	1.8333333333333333	 ['  A    Serious    Man  ',  '  Burn    After    Reading  ',  '  The    Big    Lebowski  ',  '  Bridge    of    Spies  ',  '  True    Grit  ',  '  "O    Brother,    Where    Art    Thou?"  ',  '  Inside    Llewyn    Davis  ',  '  Intolerable    Cruelty  ',  '  Romance    &    Cigarettes  ',  'Unbroken',  'Fargo',  '  No    Country    for    Old    Men  '] 	12	1.75
 Chris  Weitz 	2.4	 Paul  Weitz 	2.1333333333333333	 ['  In    Good    Company  ',  "  Nick    and    Norah's    Infinite    Playlist  ",  '  American    Pie    2  ',  '  The    Golden    Compass  ',  '  American    Pie  '] 	5	2.4
 Steve  Koren 	2.583333333333333	 Tim  Herlihy 	1.9333333333333333	 ['  Jack    and    Jill  ',  '  Just    Go    with    It  ',  '  Grown    Ups  ',  'Blended',  'Click',  'Pixels'] 	6	2.5
 Steve  Koren 	2.583333333333333	 Adam  Sandler 	2.1666666666666674	 ['  Jack    and    Jill  ',  '  Just    Go    with    It  ',  '  Grown    Ups  ',  'Blended',  'Click',  'Pixels'] 	6	2.5
 Steve  Koren 	2.583333333333333	 Allen  Covert 	2.25	 ['  Jack    and    Jill  ',  '  Just    Go    with    It  ',  '  Grown    Ups  ',  'Blended',  'Pixels'] 	5	2.4
 Alexander  Payne 	2.4375	 Jim  Taylor 	2.375	 ['  The    Descendants  ',  '  About    Schmidt  ',  '  The    Savages  ',  'Sideways',  'Election',  '  Cedar    Rapids  ',  '  Jurassic    Park    III  ',  '  "Kumiko,    the    Treasure    Hunter"  '] 	8	2.375
 Simon  Kinberg 	1.6666666666666667	 Stan  Lee 	1.8666666666666667	 ['  X-Men:    The    Last    Stand  ',  '  X-Men:    First    Class  ',  '  X-Men:    Days    of    Future    Past  ',  '  Fantastic    Four  '] 	4	1.75
 Simon  Kinberg 	1.6666666666666667	 Matthew  Vaughn 	1.9523809523809523	 ['  X-Men:    First    Class  ',  '  X-Men:    Days    of    Future    Past  ',  '  Fantastic    Four  '] 	3	1.3333333333333333
 Adam  Cooper 	1.25	 Bill  Collage 	1.25	 ['Accepted',  '  Tower    Heist  ',  '  New    York    Minute  ',  '  Exodus:    Gods    and    Kings  '] 	4	1.25
 Steve  Pink 	2.0	 John  Cusack 	2.2	 ['  High    Fidelity  ',  '  Hot    Tub    Time    Machine  ',  '  Grosse    Pointe    Blank  '] 	3	2.0
 Dick  Clement 	2.0	 Ian  La  Frenais 	2.0	 ['  Across    the    Universe  ',  '  Flushed    Away  ',  '  The    Bank    Job  '] 	3	2.0
 Charlie  Kaufman 	2.75	 Spike  Jonze 	2.0	 ['  Being    John    Malkovich  ',  '  "Synecdoche,    New    York"  ',  'Adaptation',  '  Human    Nature  '] 	4	3.0
 Phil  Hay 	1.4	 Matt  Manfredi 	1.4	 ['R.I.P.D.',  '  Clash    of    the    Titans  ',  '  AEon    Flux  ',  '  Ride    Along  ',  '  The    Tuxedo  '] 	5	1.4
 Jonathan  Aibel 	2.857142857142857	 Glenn  Berger 	2.857142857142857	 ['  Monsters    vs    Aliens  ',  '  Kung    Fu    Panda  ',  '  Kung    Fu    Panda    2  ',  '  Alvin    and    the    Chipmunks:    Chipwrecked  ',  '  The    SpongeBob    Movie:    Sponge    Out    of    Water  '] 	5	2.8
